DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
G.R.P.JODHPUR,0,0,1,0,0,0,0,0,0,0,Peaceful Area
GADAG,0,0,0,0,0,0,0,0,22,21,Peaceful Area
GADCHIROLI,1,16,0,0,2,0,1,0,17,37,Peaceful Area
GAJAPATI,2,3,1,0,0,1,9,0,57,44,Peaceful Area
GANDERBAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GANDHINAGAR,3,5,3,0,0,0,15,0,0,11,Peaceful Area
GANGANAGAR,0,1,0,0,0,0,3,0,0,24,Peaceful Area
GANJAM,1,4,0,0,0,0,16,0,31,11,Peaceful Area
GARIYABAND,1,7,0,0,0,0,0,0,0,6,Peaceful Area
GARO HILLS EAST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GARO HILLS SOUTH,0,1,1,0,0,0,0,0,0,0,Peaceful Area
GARO HILLS WEST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GAUTAMBUDH NAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GAYA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GHAZIABAD,1,0,0,0,0,0,0,0,0,5,Peaceful Area
GHAZIPUR,0,0,0,0,0,1,0,0,2,0,Peaceful Area
GIRIDIH,4,3,0,0,0,0,7,5,16,13,Peaceful Area
GOALPARA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GODDA,0,2,1,0,0,0,1,0,33,3,Peaceful Area
GOLAGHAT,8,4,5,0,2,0,23,0,0,13,Peaceful Area
GOMATI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GONDA,0,0,0,0,0,1,0,0,0,0,Peaceful Area
GONDIA,4,20,2,0,1,0,2,0,11,40,Peaceful Area
GOPALGANJ,0,0,0,0,0,0,0,0,5,0,Peaceful Area
GORAKHPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GRP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GRP RAIPUR,0,2,0,0,0,0,2,0,7,5,Peaceful Area
GRP(RLY),0,0,0,0,0,0,0,0,0,0,Peaceful Area
GULBARGA,3,0,0,0,0,0,0,0,0,5,Peaceful Area
GUMALA,0,1,0,0,0,0,0,0,0,6,Peaceful Area
GUNTAKAL RLY.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GUNTUR URBAN,0,1,0,0,0,1,3,0,0,19,Peaceful Area
GURDASPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GURGAON,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GUWAHATI CITY,0,0,0,0,0,0,6,0,0,2,Peaceful Area
HAILAKANDI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HAMIRPUR,0,0,0,0,0,0,0,0,0,32,Peaceful Area
HAMREN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HANDWARA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HANUMANGARH,0,0,0,0,0,0,0,0,0,17,Peaceful Area
HARDOI,0,0,0,0,0,0,0,0,1,0,Peaceful Area
HARIDWAR,0,0,0,0,0,0,1,0,0,0,Peaceful Area
HASSAN,0,0,0,0,0,0,0,0,2,3,Peaceful Area
HATHRAS,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HAVERI,0,0,0,0,0,0,3,0,91,70,Peaceful Area
HAZARIBAGH,4,4,1,0,0,1,62,6,34,17,Peaceful Area
HIMATNAGAR,4,9,7,1,1,3,17,0,18,44,Peaceful Area
HINGOLI,0,10,4,2,1,2,2,0,1,15,Peaceful Area
HISAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HISSAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HOOGHLY,0,0,0,0,0,0,0,0,0,1,Peaceful Area
