state,places of occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees),Area type
LAKSHADWEEP,COMMERCIAL ESTABLISHMENTS,0,0,0,0,6,70150,31,295816,Peaceful Area
LAKSHADWEEP,HIGH-WAY,0,0,0,0,0,0,0,0,Peaceful Area
LAKSHADWEEP,OTHER PLACES,1,200000,0,0,11,85160,30,682858,Peaceful Area
LAKSHADWEEP,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
LAKSHADWEEP,RESIDENTIAL PREMISES,2,300000,0,0,18,791310,50,612312,Peaceful Area
LAKSHADWEEP,RIVER & SEA,0,0,0,0,0,0,1,6000,Peaceful Area
LAKSHADWEEP,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
MADHYA PRADESH,BANKS,11,4184066,63,13447022,193,9169801,266,13285658,Peaceful Area
MADHYA PRADESH,COMMERCIAL ESTABLISHMENTS,113,27722726,650,38370855,14999,375151466,25211,572237598,Peaceful Area
MADHYA PRADESH,HIGH-WAY,249,104649705,2909,302694118,205,3625967,6662,265255529,Peaceful Area
MADHYA PRADESH,OTHER PLACES,683,7154585003,15345,636729069,21316,354891433,119995,2850434476,Moderate Area
MADHYA PRADESH,RAILWAYS,24,3014350,488,15657666,115,2167413,18381,346894552,Peaceful Area
MADHYA PRADESH,RESIDENTIAL PREMISES,572,145860456,2819,104176311,100474,1876617579,92834,2034421670,Moderate Area
MADHYA PRADESH,RIVER & SEA,3,435000,40,1575509,44,851435,511,5956513,Peaceful Area
MADHYA PRADESH,RUNNING TRAINS,20,2900400,249,8147198,3,14000,11717,271084244,Peaceful Area
MAHARASHTRA,BANKS,50,41244126,125,30542925,1153,123261100,1242,184876914,Peaceful Area
MAHARASHTRA,COMMERCIAL ESTABLISHMENTS,641,296224891,1957,1444357528,33323,3074791468,42434,2436989619,Moderate Area
MAHARASHTRA,HIGH-WAY,933,413078265,3570,543813146,185,9715109,5043,476294166,Peaceful Area
MAHARASHTRA,OTHER PLACES,4530,811490680,26581,2013958985,33483,1725121071,368305,23281947305,Sensitive Area
MAHARASHTRA,RAILWAYS,149,6822389,1251,34016180,125,6728865,36957,908923821,Peaceful Area
MAHARASHTRA,RESIDENTIAL PREMISES,1860,269373254,4221,251554518,117344,6007470884,102193,4915371389,Moderate Area
MAHARASHTRA,RIVER & SEA,12,1101731,14,206990,4,260190,633,138585970,Peaceful Area
MAHARASHTRA,RUNNING TRAINS,118,5237254,534,12870620,6,79425,17051,559856631,Peaceful Area
MANIPUR,BANKS,0,0,0,0,1,150000,6,224900,Peaceful Area
MANIPUR,COMMERCIAL ESTABLISHMENTS,0,0,1,6300,341,29344980,813,38433345,Peaceful Area
MANIPUR,HIGH-WAY,26,2064890,28,1763490,7,168000,362,53651212,Peaceful Area
MANIPUR,OTHER PLACES,17,1979305,44,5578904,171,6276272,2605,139203358,Peaceful Area
MANIPUR,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
MANIPUR,RESIDENTIAL PREMISES,5,226900,10,1116700,235,31827799,1043,48566671,Peaceful Area
MANIPUR,RIVER & SEA,0,0,0,0,0,0,5,26000,Peaceful Area
MANIPUR,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
MEGHALAYA,BANKS,2,9490620,1,150000,5,73300,0,0,Peaceful Area
MEGHALAYA,COMMERCIAL ESTABLISHMENTS,59,1340745,78,850913,212,13364183,648,121535227,Peaceful Area
MEGHALAYA,HIGH-WAY,265,20421774,306,8240039,11,289672,194,37395745,Peaceful Area
MEGHALAYA,OTHER PLACES,264,9178456,398,8180396,630,17991589,3129,213287934,Peaceful Area
MEGHALAYA,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
MEGHALAYA,RESIDENTIAL PREMISES,208,14086937,189,6453347,1030,94733881,2031,275528286,Peaceful Area
MEGHALAYA,RIVER & SEA,0,0,0,0,0,0,2,0,Peaceful Area
MEGHALAYA,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
MIZORAM,BANKS,0,0,0,0,2,70864,0,0,Peaceful Area
MIZORAM,COMMERCIAL ESTABLISHMENTS,2,23000,0,0,887,22397196,1935,44709139,Peaceful Area
MIZORAM,HIGH-WAY,13,1008315,46,2363596,126,2324874,170,5422806,Peaceful Area
MIZORAM,OTHER PLACES,13,160850,41,228465,1032,31427327,3160,66982408,Peaceful Area
MIZORAM,RAILWAYS,0,0,0,0,0,0,13,1336305,Peaceful Area
MIZORAM,RESIDENTIAL PREMISES,10,116405,24,1698140,2701,105267352,4518,204238202,Peaceful Area
