DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
GARO HILLS WEST,206,101,92,187,78,116,86,284,981,127,63,488,2,5,45,124,1093,4303,Peaceful Area
GHAZIPUR,558,510,70,244,190,58,340,576,1251,537,52,1695,288,177,569,326,3170,11865,Peaceful Area
GODDA,587,544,521,410,182,100,154,588,1560,181,108,1849,68,0,397,110,10275,19021,Peaceful Area
GOMATI,18,8,26,16,14,2,5,28,132,12,7,321,4,0,157,0,342,1147,Peaceful Area
GONDIA,432,207,348,210,197,67,207,2278,4000,386,291,4249,35,246,668,1327,7097,23714,Peaceful Area
GRP,270,56,15,40,23,25,134,16,3984,86,0,160,77,1358,2,192,5376,12032,Peaceful Area
GRP RAIPUR,38,23,19,16,14,3,51,79,2663,17,3,141,4,6,13,12,848,4007,Peaceful Area
GRP(RLY),58,15,19,115,55,8,59,9,5309,72,4,59,5,8,2,4,598,6442,Peaceful Area
GUMLA,1758,542,498,349,238,225,454,292,967,173,81,479,12,0,126,615,3077,10362,Peaceful Area
GUNTAKAL RLY.,75,3,3,10,6,15,31,0,2091,19,2,75,5,13,11,32,754,3232,Peaceful Area
GUNTUR URBAN,150,109,69,100,65,6,62,416,2497,803,33,2398,28,248,1327,690,2569,11828,Peaceful Area
GURDASPUR,278,279,225,264,208,9,24,596,969,681,16,1261,84,2,360,1542,3711,10725,Peaceful Area
HAILAKANDI,262,71,433,654,525,96,58,773,1157,234,242,616,36,4,779,279,4505,12438,Peaceful Area
HAMIRPUR,541,286,206,353,290,16,105,783,1136,421,139,2996,176,142,483,867,8386,18582,Peaceful Area
HAMREN,9,0,3,16,12,0,3,19,36,1,3,21,0,0,3,9,13,150,Peaceful Area
HANDWARA,189,387,66,296,269,3,29,240,432,86,68,38,0,61,12,33,1908,4887,Peaceful Area
HARDA,209,202,363,87,72,8,123,817,1319,84,44,4438,65,91,190,194,4959,13912,Peaceful Area
HAVERI,283,218,75,166,40,58,97,905,1358,388,0,3363,30,0,445,927,13328,25128,Peaceful Area
HINGOLI,430,296,175,127,101,83,391,1136,2200,396,302,5277,40,70,1223,996,5493,20606,Peaceful Area
HOSHIARPUR,483,468,325,316,222,52,169,1235,1827,1628,84,3417,117,22,711,2164,3846,17287,Peaceful Area
HOWRAH CITY,201,27,110,392,300,34,176,76,4084,744,31,690,46,74,1458,556,8720,18870,Peaceful Area
HOWRAH G.R.P.,123,110,10,55,33,25,64,1,5178,125,1,80,4,4,5,8,1067,7308,Peaceful Area
I.G.I. AIRPORT,9,7,1,12,5,0,14,2,266,2016,1,14,0,5,1,4,310,2700,Peaceful Area
IGI AIRPORT,8,2,1,35,5,1,21,5,750,2782,0,6,0,6,2,40,1426,5151,Peaceful Area
IMPHAL EAST,177,534,47,278,187,0,5,65,608,123,113,390,0,0,32,0,1253,4176,Peaceful Area
IMPHAL WEST,232,933,81,431,264,2,13,187,2082,279,120,678,2,1,52,4,2739,8507,Peaceful Area
IMPHAL(EAST),140,168,25,107,73,2,4,41,169,170,60,249,0,0,2,0,909,2176,Peaceful Area
IMPHAL(WEST),181,254,34,212,151,4,8,173,694,161,163,507,0,0,12,42,2286,5146,Peaceful Area
INDORE RLY.,35,20,22,7,7,2,70,24,2189,23,0,86,3,7,2,0,1118,3687,Peaceful Area
J.P.NAGAR,811,531,290,469,397,68,334,477,1718,833,19,877,165,390,762,1346,5330,15665,Peaceful Area
JABALPUR RLY.,34,18,22,10,8,6,171,49,3860,21,1,86,4,16,1,2,1528,5963,Peaceful Area
JAGATSINGHPUR,321,232,259,333,274,123,458,929,1982,333,135,1587,189,21,570,1937,7127,17153,Peaceful Area
JAGDALPUR,777,432,743,163,139,101,192,1680,1648,212,117,3897,18,25,210,1260,11816,24443,Peaceful Area
JAGRAON,142,196,109,117,69,4,24,398,588,380,8,943,20,17,149,471,1710,5444,Peaceful Area
