DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
JALGAON,1007,636,485,338,266,272,566,2925,8571,2505,251,8827,115,404,4273,4233,15214,55702,Moderate Area
JALNA,594,417,193,182,133,166,623,2254,4531,892,325,6936,271,109,3092,1707,7829,33162,Moderate Area
JALPAIGURI,1345,798,1777,1853,1536,132,477,507,13229,555,121,5558,123,5,6745,2884,24018,64179,Moderate Area
JAMMU,284,878,290,735,693,15,42,2801,5503,983,199,426,64,672,520,1395,26839,43451,Moderate Area
JAMNAGAR,467,269,192,377,312,57,270,2210,5136,351,151,4899,8,46,2806,25,34532,53364,Moderate Area
JAMSHEDPUR,1052,1321,606,682,444,171,511,1679,9364,1251,155,4973,159,18,881,1220,10991,37675,Moderate Area
JAMUI,826,1243,290,519,215,261,385,546,1432,425,225,4765,201,2,450,469,4427,18674,Moderate Area
JAUNPUR,557,695,175,582,505,38,370,737,1833,1090,53,3581,459,269,866,1585,6409,20959,Moderate Area
JHABUA,979,713,435,423,375,35,216,1132,1984,91,392,6008,31,18,159,291,14751,29024,Moderate Area
JHALAWAR,500,945,661,858,629,20,278,1498,4658,1503,467,10760,94,50,3256,1306,12560,42690,Moderate Area
JHUNJHUNU,459,242,416,573,413,10,92,1477,3861,3540,289,6135,170,0,2342,1816,23804,46937,Moderate Area
JUNAGADH,536,268,142,663,571,98,457,2472,6275,687,289,5924,47,92,4893,2380,31030,58705,Moderate Area
KAMRUP,450,216,614,1317,994,223,353,1526,3576,580,155,2308,39,0,1070,931,11365,26853,Moderate Area
KANCHIPURAM,690,822,251,199,144,51,174,1568,4900,454,135,5184,90,171,181,7024,52554,75996,Moderate Area
KANNUR,264,438,419,144,89,78,609,2687,2424,1657,640,13662,2,140,3036,49,33649,71381,Moderate Area
KANYAKUMARI,422,750,110,313,302,29,458,2110,3624,1113,306,7242,49,725,719,3113,28248,49772,Moderate Area
KARAULI,372,375,403,922,600,12,194,414,5426,1774,233,771,170,0,1370,1003,29350,43750,Moderate Area
KARNAL,513,445,562,425,241,76,278,2913,7706,1231,98,6442,194,124,2196,2856,8174,35540,Moderate Area
KATIHAR,900,521,1089,1143,747,238,330,647,2379,746,180,5675,219,7,540,869,11382,29828,Moderate Area
KEONJHAR,993,836,627,438,391,161,667,1032,2808,335,254,1778,191,182,656,3477,8562,25987,Moderate Area
KHAMMAM,1337,791,721,919,717,63,195,2717,6006,2141,439,18111,218,2525,4090,4980,19238,68903,Moderate Area
KHANDWA,401,457,717,197,174,43,192,3248,3697,246,133,691,91,251,531,1039,26681,41293,Moderate Area
KHARGON,513,471,668,162,145,36,222,2271,6350,345,151,4811,252,276,518,1812,26432,48202,Moderate Area
KHEDA NORTH,470,118,149,486,456,119,179,1397,3890,497,205,4269,0,0,1817,2774,35301,53275,Moderate Area
KHIRI,1255,1218,516,1102,989,48,363,793,3477,879,73,4333,658,558,884,1528,11002,30858,Moderate Area
KHURDA,516,634,535,595,487,225,1381,3896,8442,1757,213,9204,196,90,1270,1442,14045,46286,Moderate Area
KOKRAJHAR,709,269,399,693,452,90,129,562,1579,249,2485,1874,34,0,762,694,2457,16995,Moderate Area
KOLHAPUR,719,495,348,301,196,167,444,3294,8448,2470,208,6311,245,178,1273,3816,11557,44545,Moderate Area
KOLLAM,381,337,558,238,182,87,473,3284,4035,1679,434,22084,28,81,4043,28,49595,97571,Moderate Area
KOTA,240,1579,204,686,580,7,284,1779,5577,1790,153,3081,47,13,1706,844,14340,33935,Moderate Area
KOTTAYAM,257,264,394,204,149,53,549,3594,4085,3755,190,20453,10,343,2170,17,54004,97779,Moderate Area
KOZHIKODE RURAL,110,212,350,141,106,35,192,1757,1959,1567,610,9826,20,138,2662,25,25355,53302,Moderate Area
KRISHNA,842,802,528,650,466,22,126,2392,7002,1898,545,27498,169,1698,5016,4060,10884,67845,Moderate Area
KRISHNAGIRI,521,334,125,377,318,38,233,811,2555,509,176,5892,44,134,247,3689,23687,41287,Moderate Area
KURNOOL,1529,1460,419,785,599,101,215,2494,4921,2898,380,19228,154,2172,3002,5479,23411,73883,Moderate Area
LAKHIMPUR,426,193,734,1238,1086,68,211,865,2554,514,193,4458,15,0,1584,1273,5671,21468,Moderate Area
LATUR,718,442,231,302,300,137,500,2456,4627,937,401,10297,387,25,1738,2274,11722,40706,Moderate Area
LUDHIANA,603,676,398,865,576,25,132,2212,5320,3176,61,2516,90,427,1105,2299,12387,33313,Moderate Area
MADHUBANI,805,955,438,1076,702,360,316,1097,3213,383,163,9492,326,0,1116,1011,16253,42083,Moderate Area
MADURAI RURAL,690,890,244,570,446,72,695,1511,4285,1407,253,11095,105,115,760,4522,29960,60075,Moderate Area
MAHABOOBNAGAR,2171,953,864,870,737,90,347,3014,9043,1774,650,19861,310,468,2751,6896,17908,71938,Moderate Area
MAINPURI,1229,1263,157,845,609,176,531,604,2414,816,72,2380,430,76,466,1153,7701,22040,Moderate Area
MALAPPURAM,255,315,691,170,79,93,370,3618,4398,3410,292,10480,13,212,6322,15,57986,98239,Moderate Area
MALDA,885,1189,1331,1323,949,62,203,143,4038,429,47,3357,86,19,4221,799,14434,35343,Moderate Area
MANDYA,756,684,256,252,182,72,407,2710,4496,551,192,12973,131,3,1354,0,27855,57125,Moderate Area
MATHURA,1186,1431,313,905,690,87,656,903,6567,2375,99,1785,319,436,1842,4014,14107,40188,Moderate Area
MAYURBHANJ,1015,657,971,568,516,121,410,1301,2697,439,192,1339,285,123,1377,1556,11660,27405,Moderate Area
MEDAK,1460,664,538,639,490,117,309,3440,6273,2324,645,21372,383,653,3552,6935,10040,61927,Moderate Area
MEHSANA,378,281,92,661,585,191,474,2565,7430,694,217,9223,15,11,2637,2114,28546,57597,Moderate Area
MORADABAD,1818,1566,635,1586,1345,143,870,1474,7696,1799,40,1086,395,1014,2558,2161,16406,44213,Moderate Area
MORENA,711,1165,450,365,245,123,681,2625,5222,369,148,18405,349,31,782,1749,24189,60288,Moderate Area
MOTIHARI,1461,3116,373,1712,1000,351,769,1665,5203,1239,341,11461,591,17,773,1110,24193,60939,Moderate Area
MUZAFFARNAGAR,2483,2122,450,1766,1245,146,1114,1147,6645,1885,29,261,342,804,2546,1721,16760,43541,Moderate Area
MUZAFFARPUR,1779,1049,788,2332,1044,494,1121,2498,10505,1912,404,6568,846,0,1315,2883,28143,69252,Moderate Area
NAGAON,996,629,1464,2606,2516,594,844,3297,4995,831,640,7055,108,68,4910,3137,13736,51277,Moderate Area
NAGAPATTINAM,521,636,137,354,297,12,120,827,2873,338,337,9575,52,126,164,2096,27945,47332,Moderate Area
NAGAUR,551,453,493,760,579,13,175,2321,4694,3821,229,2457,164,0,2867,2408,28535,51660,Moderate Area
NAGPUR RURAL,909,393,556,282,227,98,592,3462,11154,598,634,8576,82,671,1019,4620,17286,54011,Moderate Area
NALANDA,1718,1536,314,1182,545,291,620,1019,3929,996,213,11071,734,4,940,1966,15615,45663,Moderate Area
NALGONDA,1446,778,698,872,689,90,347,2838,5917,2747,845,19199,402,1542,3675,7657,31483,85368,Moderate Area
NAMAKKAL,420,312,115,417,363,40,175,690,2611,510,148,10465,34,169,285,4222,24370,46314,Moderate Area
NANDED,992,918,396,455,348,278,907,4347,6291,1600,743,15343,289,86,3202,2292,19659,62476,Moderate Area
NARSINGHPUR,483,509,733,82,67,5,173,1281,1776,183,208,12632,232,204,594,1144,8494,30779,Moderate Area
NASIK COMMR.,385,262,202,250,173,155,804,5186,13538,1693,141,2933,37,155,1502,2384,8124,40123,Moderate Area
NASIK RURAL,1078,586,544,305,212,326,549,2891,6645,1348,295,9786,94,435,4013,6651,15327,57106,Moderate Area
NAVI MUMBAI,638,302,260,243,120,200,1673,5493,16686,3013,64,4972,54,194,818,4277,9591,51475,Moderate Area
NAWADAH,915,734,263,647,269,148,288,534,1475,552,111,3673,243,8,352,1277,8720,22684,Moderate Area
NELLORE,942,1117,488,887,774,122,250,2934,8623,2249,647,24134,107,1621,3352,4817,15201,71475,Moderate Area
