DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
DIBRUGARH,1199,233,591,1111,512,122,309,1238,5099,400,294,4048,29,0,1075,1976,6517,25682,Moderate Area
DIMAPUR,323,83,63,225,38,44,729,466,1828,139,24,131,0,5,7,232,934,5415,Peaceful Area
DINDIGUL,721,774,170,554,483,30,299,1217,4735,906,237,5556,44,99,764,4872,37766,60083,Moderate Area
DINDORI,243,62,370,27,22,2,27,451,340,103,39,1381,26,45,201,446,5862,10464,Peaceful Area
DIU,4,6,3,6,4,2,5,57,78,11,4,31,1,1,17,56,188,550,Peaceful Area
DODA,601,830,168,355,336,17,31,473,449,86,212,234,0,59,121,162,4680,8995,Peaceful Area
DUMKA,748,639,557,313,179,100,125,690,2027,216,128,2338,113,7,534,829,5555,16483,Peaceful Area
DUNGARPUR,298,164,259,565,532,7,136,607,802,544,247,1858,66,2,935,1249,12698,22460,Peaceful Area
DURG,898,682,1402,490,368,46,703,6527,10102,1254,337,5234,148,329,1491,3039,50643,87167,Moderate Area
EAST,646,629,720,2834,1724,65,765,2756,29739,2094,109,3022,160,173,1884,1188,22853,71741,Moderate Area
EAST GODAVARI,1041,1211,499,780,378,30,245,5069,13533,3273,479,31514,206,1584,4927,6655,18113,93193,Moderate Area
EOW,0,0,0,0,0,0,0,0,0,672,0,0,0,3,0,0,90,783,Peaceful Area
ERNAKULAM,80,147,65,32,16,52,199,1241,2423,588,49,3509,4,9,340,5,20029,30516,Peaceful Area
ERNAKULAM COMMR.,136,159,204,104,54,73,398,1689,3572,3159,56,4836,8,151,1055,15,85845,104786,Moderate Area
ERNAKULAM RURAL,266,241,297,118,83,74,452,2172,3500,1973,127,9241,15,168,1473,24,97176,122473,Moderate Area
ERODE,642,319,171,507,366,52,340,1707,6742,934,251,15755,39,88,432,6411,40565,76349,Moderate Area
