DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
TARN TARAN,26.0,46.0,46.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,143,Peaceful Area
TAWANG,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
TEHRI GARHWAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
THANJAVUR,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Peaceful Area
THENI,24.0,45.0,103.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,185,Peaceful Area
THIRUNELVELI RURAL,24.0,39.0,46.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,126,Peaceful Area
THIRUNELVELI URBAN,7.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53,Peaceful Area
THIRUVALLUR,18.0,43.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,Peaceful Area
THIRUVANNAMALAI,14.0,61.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,Peaceful Area
THIRUVARUR,10.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Peaceful Area
THOOTHUGUDI,32.0,75.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,184,Peaceful Area
THOUBAL,5.0,24.0,85.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,124,Peaceful Area
THRISSUR,47.0,97.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,333,Peaceful Area
THRISSUR COMMR.,1.0,27.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134,Peaceful Area
THRISSUR RURAL,8.0,44.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,199,Peaceful Area
TINSUKIA,9.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Peaceful Area
TIRAP,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Peaceful Area
TIRUPATHI URBAN,7.0,14.0,16.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,48,Peaceful Area
TIRUPPUR,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Peaceful Area
TONK,4.0,46.0,120.0,6.0,0.0,39.0,1.0,2.0,0.0,2.0,220,Peaceful Area
TRICHY RLY.,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7,Peaceful Area
TRICHY RURAL,18.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120,Peaceful Area
TRICHY URBAN,12.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Peaceful Area
TRIVANDRUM,8.0,33.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,76,Peaceful Area
TRIVANDRUM COMMR.,6.0,118.0,63.0,1.0,2.0,5.0,33.0,0.0,0.0,2.0,335,Peaceful Area
TUENSANG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
TUMKUR,2.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,58,Peaceful Area
UDALGURI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
UDHAMPUR,4.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15,Peaceful Area
UDHAMSINGH NAGAR,10.0,14.0,61.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,119,Peaceful Area
UDUPI,6.0,7.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,52,Peaceful Area
UKHRUL,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
UMARIYA,8.0,121.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,400,Peaceful Area
UNA,11.0,46.0,39.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,148,Peaceful Area
UNAKOTI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
UPPER DIBANG VALLEY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
