DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
KHARAGPUR G.R.P.,3,8,1,19,3,7,0,Peaceful Area
KHASI HILLS EAST,347,98,13,180,2,108,0,Peaceful Area
KHASI HILLS WEST,159,12,0,49,0,0,0,Peaceful Area
KHEDA NORTH,149,456,0,361,0,1817,0,Peaceful Area
KHOWAI,10,3,3,22,0,36,0,Peaceful Area
KHUNTI,50,29,3,12,1,15,5,Peaceful Area
KINNAUR,63,29,1,38,3,43,0,Peaceful Area
KIPHIRE,2,1,0,0,0,0,0,Peaceful Area
KISHANGANJ,435,575,88,80,1,433,0,Peaceful Area
KISHTWAR,20,106,0,42,8,42,0,Peaceful Area
KODAGU,129,55,30,311,12,413,0,Peaceful Area
KODERMA,114,110,129,79,4,324,0,Peaceful Area
KOHIMA,63,10,0,17,0,2,0,Peaceful Area
KOKRAJHAR,399,452,34,342,0,762,2,Peaceful Area
KOLAR,188,190,157,401,3,426,0,Peaceful Area
KOLASIB,80,1,0,81,1,2,0,Peaceful Area
KOLLAM COMMR.,97,38,5,363,60,655,0,Peaceful Area
KOLLAM RURAL,95,24,1,525,28,624,0,Peaceful Area
KONDAGAON,11,0,0,4,3,2,0,Peaceful Area
KOPPAL,102,92,38,314,4,556,0,Peaceful Area
KORBA,433,74,65,896,93,459,0,Peaceful Area
KORIYA,646,96,26,1009,36,471,1,Peaceful Area
KOTA,204,580,47,843,13,1706,0,Peaceful Area
KOTA CITY,192,477,51,362,5,2426,0,Peaceful Area
KOTA RURAL,234,236,30,609,8,1370,0,Peaceful Area
KOZHIKODE,92,11,2,253,20,662,0,Peaceful Area
KOZHIKODE COMMR.,169,57,16,721,334,1520,0,Peaceful Area
KRISHNAGIRI,125,318,44,333,134,247,0,Peaceful Area
KULGAM,107,521,0,542,109,7,0,Peaceful Area
KULLU,206,127,3,273,10,166,0,Peaceful Area
KUPWARA,102,380,0,593,77,26,0,Peaceful Area
KURUKSHETRA,343,234,113,226,255,1112,0,Peaceful Area
KUSHI NAGAR,125,343,251,170,326,251,0,Peaceful Area
KUTCH,97,325,15,276,21,2367,0,Peaceful Area
